depth,shift,discharge,flag
13.55,0.00,9125.48,
13.56,0.00,9140.18,
13.57,0.00,9154.90,
13.58,0.00,9169.64,
13.59,0.00,9184.38,
13.60,0.00,9199.14,
13.61,0.00,9213.91,
13.62,0.00,9228.69,
13.63,0.00,9243.49,
13.64,0.00,9258.30,
13.65,0.00,9273.12,
13.66,0.00,9287.96,
13.67,0.00,9302.80,
13.68,0.00,9317.66,
13.69,0.00,9332.54,
13.70,0.00,9347.42,
13.71,0.00,9362.32,
13.72,0.00,9377.24,
13.73,0.00,9392.16,
13.74,0.00,9407.10,
13.75,0.00,9422.05,
13.76,0.00,9437.01,
13.77,0.00,9451.99,
13.78,0.00,9466.98,
13.79,0.00,9481.98,
13.80,0.00,9496.99,
13.81,0.00,9512.02,
13.82,0.00,9527.06,
13.83,0.00,9542.12,
13.84,0.00,9557.18,
13.85,0.00,9572.26,
13.86,0.00,9587.35,
13.87,0.00,9602.46,
13.88,0.00,9617.58,
13.89,0.00,9632.71,
13.90,0.00,9647.85,
13.91,0.00,9663.01,
13.92,0.00,9678.18,
13.93,0.00,9693.36,
13.94,0.00,9708.56,
13.95,0.00,9723.77,
13.96,0.00,9738.99,
13.97,0.00,9754.22,
13.98,0.00,9769.47,
13.99,0.00,9784.73,
14.00,0.00,9800.00,*
14.01,0.00,9812.70,
14.02,0.00,9825.41,
14.03,0.00,9838.12,
